# Constructed from biom file
#OTU ID	sample-13	sample-14	sample-15	sample-16	sample-17	sample-18	sample-19	sample-20	sample-21	sample-22	sample-23	sample-24
f3ffc2de63ea5e68fc5d2806ea9be8b9	0.0	43.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8cc743f5c0732f04ebde9386131c8600	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0
82be56c9de039bc394188f1654fda65d	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
06e5bcc88f4ada6624852eb8999ea60b	0.0	0.0	37.0	27.0	0.0	0.0	99.0	0.0	0.0	0.0	39.0	0.0
3e54b1dea7935494d04db64a2b18ed84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0
75098d42e2d10a683d070c5fd5b25b27	0.0	0.0	0.0	39.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0
b3a9b632685f51a8d65cf516974f8bc6	499.0	25.0	0.0	1538.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5c883cc8d17c682f6fb5e42e163e8d93	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
200bf10d3273a45e24e0b8e3b77163f8	0.0	0.0	25.0	0.0	0.0	0.0	55.0	0.0	49.0	0.0	0.0	0.0
74c7c00c17dffcb36f282df66294adad	0.0	0.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7d391de199fbb8d1399698153cb461f9	200.0	1522.0	24.0	0.0	637.0	712.0	159.0	1948.0	817.0	367.0	1958.0	2154.0
3e19cbf00c810472086e1c7b1844d76a	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
857dfc095dc500de8f76012fd3474cfa	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f17c8859fc2865288762ba9552ee0834	0.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0
6d097c5d5072789fa151fabcbff670eb	204.0	2699.0	46.0	390.0	132.0	511.0	7775.0	950.0	51.0	60.0	582.0	195.0
0c18aba19067ccafff9b3f167f530cb8	0.0	0.0	0.0	0.0	0.0	0.0	2959.0	2365.0	0.0	0.0	0.0	0.0
28530ec2b344df0a2f240216df044211	0.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ccfc5cbdc27e35918255e44fd3c86a78	0.0	0.0	0.0	0.0	0.0	0.0	407.0	0.0	0.0	0.0	36.0	0.0
2e34a6015cd03a6764045cdb51ca3e1b	0.0	28.0	0.0	0.0	37.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0
409412341b8a611069503a3be5c5b9dd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0
f2018213d1107772af4bdcb36f45b591	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
87bf6f25c99b178702ce1c4a1e612867	0.0	0.0	0.0	0.0	0.0	78.0	0.0	0.0	0.0	0.0	0.0	0.0
d41d82dd7df2eec60ba852cf419aeb88	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0
b7c74f0622cd4551df2757d0d6401c12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0
9ed348cd077c07e266783ddf7da71a16	0.0	0.0	0.0	0.0	0.0	309.0	0.0	0.0	0.0	0.0	0.0	0.0
f3ba4c6403096309819eba1563d579a9	0.0	90.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43b98bd64399048071e3262527a2d848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0
8265025f0a155927fe3256669370334a	0.0	0.0	0.0	152.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
